,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,overall_score
179,17,1,1,4,2.0,71.7,0,1,0,1,43.7
180,19,0,0,2,2.7,77.6,0,3,0,3,49.5
181,14,1,0,3,3.5,90.1,0,3,0,5,59.5
182,16,1,0,2,4.9,59.8,0,1,1,3,73.0
183,18,2,1,4,7.7,56.6,0,3,1,1,81.5
184,16,2,1,3,2.5,96.6,0,2,1,4,59.7
185,16,2,0,3,3.0,57.3,1,2,0,0,38.6
186,14,0,1,2,0.7,99.5,0,3,1,3,44.7
187,16,2,1,1,3.3,79.9,0,2,0,4,58.4
188,15,0,1,1,5.6,74.9,0,0,1,0,71.8
189,15,1,1,4,7.7,59.4,0,3,1,2,76.1
190,18,2,0,1,6.1,93.0,0,3,1,2,86.6
191,17,2,1,2,1.4,58.6,0,3,1,5,25.5
192,17,1,1,0,7.2,70.1,0,2,0,1,80.1
193,16,0,1,3,6.8,52.4,0,0,1,4,84.1
194,19,1,1,3,1.9,51.1,0,0,0,5,32.5
195,14,2,1,5,7.5,86.5,0,3,1,3,93.0
196,16,1,1,4,5.9,60.4,0,0,0,4,71.9
197,14,1,1,1,6.4,80.0,0,3,0,3,90.7
198,16,1,0,4,3.9,86.2,0,0,0,4,60.9
199,19,1,0,1,2.0,74.6,0,2,1,3,54.9
200,16,0,0,0,6.5,82.8,0,1,0,5,90.0
201,19,2,1,0,4.1,62.1,0,2,1,4,50.1
202,16,0,0,2,7.8,90.9,0,2,1,4,100.0
203,18,2,0,1,1.7,60.3,0,1,0,0,42.2
204,16,0,0,0,3.2,79.5,0,0,0,4,59.9
205,15,1,1,4,6.0,91.8,0,2,1,4,82.7
206,18,1,1,4,4.8,89.7,0,2,1,4,80.2
207,19,1,0,1,3.7,52.6,0,2,0,4,57.8
208,15,1,1,1,5.8,68.4,0,1,0,3,65.2
209,18,2,0,2,6.0,92.6,0,1,0,0,82.5
210,15,0,0,5,4.8,92.5,0,0,0,0,76.2
211,18,2,1,1,2.9,81.8,0,1,0,2,65.5
212,18,2,0,1,5.1,55.4,1,0,1,0,62.8
213,16,2,0,2,4.6,70.2,0,0,1,1,61.4
214,18,0,1,0,6.5,98.1,0,3,0,4,83.2
215,15,0,0,5,5.4,55.3,0,2,0,4,67.5
216,14,1,1,0,4.2,90.1,0,0,1,0,75.7
217,14,0,0,1,0.6,70.9,0,0,1,1,43.0
218,16,2,1,1,1.8,87.2,1,3,1,1,52.1
219,19,2,1,2,3.0,52.7,0,2,1,1,47.3
220,14,1,1,3,5.0,50.5,0,2,1,4,61.5
221,16,2,0,1,6.4,65.0,0,2,0,0,82.4
222,18,0,1,2,7.7,93.5,0,0,1,0,99.1
223,15,2,0,3,5.0,84.0,0,1,1,3,69.1
224,18,0,1,0,6.0,80.6,0,2,0,1,77.4
225,15,2,1,4,5.2,99.9,0,1,0,5,85.6
226,18,1,1,5,3.7,67.4,0,3,1,2,63.1
227,17,1,1,5,5.1,92.5,1,0,1,0,80.2
228,17,0,1,3,3.5,55.5,1,2,1,1,54.8
229,15,1,0,0,3.9,58.5,0,1,0,4,44.6
230,16,2,1,4,7.3,73.9,0,0,1,4,97.2
231,19,2,1,0,4.7,98.0,0,0,1,2,70.5
232,14,1,0,3,1.3,85.2,0,3,0,1,39.7
233,18,0,0,4,4.4,55.6,0,2,1,1,52.6
234,16,1,1,1,7.6,97.7,0,3,0,4,95.5
235,18,2,1,4,1.3,88.3,0,1,1,4,39.4
236,17,0,1,1,7.8,86.8,1,3,1,0,87.6
237,16,2,0,3,7.9,77.6,0,2,1,3,100.0
238,15,2,0,3,4.7,69.7,0,1,1,3,63.7
239,17,2,0,1,3.0,55.5,0,0,0,2,39.2
240,14,1,0,4,0.6,81.0,0,1,1,5,36.1
241,17,0,0,1,0.6,56.4,0,0,0,4,28.6
242,14,0,0,4,3.4,79.5,1,0,1,5,64.0
243,17,2,1,3,6.4,77.0,0,2,1,0,82.2
244,17,1,0,0,7.6,79.8,1,0,0,4,95.8
245,14,0,0,3,1.7,91.3,0,1,0,3,44.0
246,18,2,0,0,4.2,70.6,0,3,1,0,69.1
247,16,0,1,3,4.3,71.8,0,0,1,5,70.3
248,18,2,1,5,3.4,53.0,0,3,1,3,40.0
249,14,1,0,2,4.5,64.4,0,0,1,0,59.2
250,15,1,1,5,7.4,54.1,0,3,1,5,87.5
251,16,0,1,3,3.8,57.1,0,1,0,2,48.8
252,15,0,0,4,1.5,71.3,0,0,0,0,32.5
253,15,2,1,4,5.5,70.4,1,2,0,0,63.2
254,17,1,1,3,0.7,96.8,0,3,1,1,38.2
255,14,2,0,4,7.6,56.0,0,1,1,2,77.6
256,18,2,1,2,7.5,57.5,1,3,1,3,87.9
257,14,0,0,4,1.2,87.5,0,2,0,4,34.9
258,15,1,0,4,4.6,51.1,0,0,0,1,58.4
259,17,2,0,2,6.5,82.5,0,3,1,2,93.4
260,18,1,0,0,4.0,87.4,0,2,0,2,75.8
261,15,1,1,1,4.1,81.4,0,1,1,1,67.4
262,15,1,1,5,7.8,64.4,1,3,1,3,86.1
263,19,2,0,0,2.2,55.2,0,1,1,2,36.2
264,19,2,0,2,4.4,99.7,0,3,1,5,75.7
265,17,2,1,2,1.4,93.0,0,0,1,2,55.3
266,16,1,1,5,2.8,86.5,0,0,1,3,51.8
267,16,1,1,2,6.9,59.4,0,3,0,5,72.6
268,17,1,1,3,5.9,71.5,1,0,1,1,69.4
269,17,0,1,1,5.1,85.5,0,2,0,4,74.9
270,15,2,0,5,1.4,55.1,0,3,1,2,30.2
271,14,0,1,2,6.9,97.9,0,0,1,2,100.0
272,14,2,1,1,2.7,97.8,0,0,1,5,58.8
273,19,1,0,4,4.5,57.5,0,0,0,1,62.3
274,16,2,1,4,2.3,59.9,0,2,1,5,49.2
275,16,2,0,4,4.4,68.2,0,3,1,5,69.0
276,16,1,0,3,4.7,72.5,0,2,1,4,60.3
277,18,1,1,4,3.1,72.0,0,0,0,0,58.1
278,14,1,0,2,4.3,84.4,0,3,1,1,70.7
279,14,1,0,0,3.5,73.5,0,1,0,1,56.5
280,15,0,1,2,5.7,59.2,0,0,1,5,75.9
281,16,0,1,5,4.6,63.1,0,0,1,5,59.3
282,18,2,1,3,7.1,70.6,0,0,1,1,76.3
283,16,2,1,4,0.9,76.0,0,2,0,4,28.0
284,16,0,1,2,0.7,96.2,0,0,0,0,46.8
285,19,0,0,4,1.9,54.8,0,3,1,4,36.4
286,14,1,0,0,1.4,90.2,0,3,1,0,52.6
287,17,2,0,5,4.4,65.5,0,3,0,1,69.3
288,17,2,0,0,2.0,86.4,1,0,0,5,53.1
289,16,2,0,1,0.6,62.9,0,2,0,2,31.0
290,18,0,0,1,2.6,69.3,0,3,1,3,42.2
291,15,0,0,5,4.3,72.2,1,3,0,1,64.6
292,19,1,0,5,5.9,87.5,1,1,0,2,82.4
293,15,0,1,0,3.8,58.3,0,0,1,4,55.9
294,17,1,0,3,7.7,67.3,0,1,1,5,88.3
295,17,1,1,2,2.0,76.4,0,2,1,3,48.0
296,19,2,0,2,4.4,82.9,0,2,0,0,73.4
297,16,0,0,2,2.4,53.8,0,1,0,0,48.5
298,15,2,0,5,6.6,54.7,0,2,1,1,75.1
299,14,2,1,3,1.9,85.9,0,1,1,0,56.7
300,16,2,1,5,7.7,68.3,0,3,0,4,90.9
301,18,2,0,0,5.9,58.3,0,2,1,0,67.6
302,14,2,0,1,4.7,63.2,0,2,1,1,60.2
303,19,0,1,2,4.5,79.9,1,1,0,1,73.2
304,17,1,0,2,3.2,97.7,0,1,1,4,64.3
305,14,1,1,0,0.7,86.6,0,1,0,2,45.8
306,15,2,1,0,7.4,89.9,0,1,1,4,96.6
307,17,0,0,1,6.5,80.4,0,2,1,2,75.0
308,15,1,1,1,1.5,68.6,0,1,0,4,39.1
309,14,0,1,0,1.4,98.1,0,1,1,1,50.3
310,17,0,1,0,2.8,54.1,1,1,0,2,48.2
311,18,2,1,0,6.2,90.4,1,2,1,1,91.6
312,14,0,0,2,4.3,62.9,0,3,0,3,51.9
313,15,2,0,3,5.4,80.4,0,1,1,3,77.7
314,15,2,1,4,0.5,99.1,0,2,0,2,47.6
315,17,2,0,4,7.4,92.1,0,3,0,5,100.0
316,18,0,0,4,1.7,92.5,0,1,0,1,50.5
317,18,0,1,1,2.9,91.2,0,0,1,3,50.5
318,19,1,0,5,7.6,72.7,0,3,1,3,81.4
319,18,1,0,0,6.0,69.7,0,0,0,0,74.5
320,15,2,1,0,4.3,75.9,0,1,0,0,69.2
321,14,1,0,0,7.0,64.3,0,2,1,1,90.7
322,17,0,1,4,1.0,73.9,0,3,0,3,35.1
323,19,2,0,1,1.1,56.3,0,0,1,5,34.1
324,19,2,0,4,1.7,94.6,0,0,1,2,55.8
325,15,1,1,0,2.5,86.8,0,1,0,4,46.2
326,15,2,0,5,5.8,53.1,0,1,0,2,68.1
327,14,2,0,4,4.5,83.0,0,2,0,3,60.8
328,14,1,0,0,3.7,87.9,0,3,0,0,64.1
329,17,0,1,3,6.4,93.1,0,0,0,3,96.0
330,17,1,0,4,2.9,66.5,0,0,1,5,55.8
331,16,1,0,5,1.1,81.5,1,3,0,4,45.1
332,15,2,0,0,3.5,63.8,1,0,1,1,61.6
333,18,2,0,1,6.2,92.4,0,3,0,2,82.6
334,16,1,0,2,4.1,93.8,1,3,0,1,69.4
335,18,1,1,0,7.8,53.8,1,0,0,3,79.6
336,19,1,0,5,6.9,64.3,0,3,0,5,77.6
337,15,1,0,4,6.4,55.1,0,0,0,4,76.4
338,15,1,0,0,6.3,69.9,0,2,1,4,81.9
339,19,1,1,1,4.9,50.3,1,3,1,4,51.8
340,17,1,0,4,7.3,89.1,0,2,1,1,100.0
341,15,2,0,2,4.9,71.6,0,0,0,5,62.9
342,17,0,1,1,3.3,76.7,0,3,0,5,51.9
343,17,0,1,4,2.0,87.1,1,0,0,1,47.9
344,19,2,1,1,6.6,85.6,0,1,1,1,84.7
345,15,2,0,3,3.3,65.7,0,1,0,2,55.8
346,19,1,0,4,6.4,89.1,0,1,1,4,90.6
347,19,1,1,0,7.9,82.0,0,2,1,1,99.6
348,15,1,1,5,3.5,60.9,0,0,0,5,53.1
349,14,1,0,2,3.1,51.5,0,1,1,5,40.1
350,17,0,1,1,1.8,87.8,0,3,1,2,44.4
351,14,1,1,2,4.1,58.3,0,2,0,0,65.1
352,15,0,1,0,5.4,55.6,0,0,0,0,58.9
353,16,0,0,4,2.8,71.0,0,1,1,4,49.9
354,19,1,1,0,4.1,96.1,1,2,0,3,77.6
355,19,2,0,4,4.5,85.9,0,2,1,4,70.8
356,14,0,0,2,2.6,89.9,0,1,1,3,65.9
357,19,2,1,1,0.7,63.5,0,3,0,4,40.4
358,14,1,0,1,2.1,91.8,1,2,0,4,60.3
359,18,2,0,0,6.5,70.8,1,1,0,2,78.5
360,19,1,0,0,2.6,99.0,0,2,1,1,67.5
361,19,2,0,0,0.6,78.5,0,2,1,0,40.0
362,15,1,0,5,3.7,80.3,0,0,1,0,69.4
363,19,2,1,4,5.6,95.8,0,0,1,3,78.2
364,14,1,1,1,6.1,97.4,0,0,1,5,79.7
365,17,1,1,4,3.6,50.9,0,2,1,2,50.2
366,16,1,1,1,4.8,61.6,0,1,0,5,62.3
367,15,2,1,3,6.1,80.7,0,1,0,1,82.9
368,14,2,0,5,7.2,50.2,0,0,0,3,85.1
369,18,0,1,1,5.3,65.9,0,3,0,1,75.5
370,16,2,1,1,5.7,59.8,0,2,1,5,61.0
371,17,2,0,5,1.2,76.2,0,1,0,1,33.1
372,16,2,0,4,3.7,79.9,1,2,1,0,65.3
373,16,1,0,4,7.2,59.5,0,2,0,5,82.2
374,19,1,1,1,1.7,76.8,0,3,1,2,37.8
375,14,2,1,5,2.8,69.8,0,0,1,0,40.8
376,18,1,1,2,5.6,99.5,0,2,0,3,80.5
377,18,1,0,3,7.3,53.3,0,0,0,2,74.8
378,16,1,1,3,0.9,92.0,1,2,0,1,36.3
379,15,1,0,0,7.0,100.0,0,0,1,4,100.0
380,14,0,0,3,2.2,77.1,0,1,1,0,57.0
381,19,0,0,0,7.0,84.0,0,2,1,5,83.1
382,19,0,0,5,7.2,56.4,0,2,1,2,83.7
383,15,1,0,0,6.3,67.5,0,2,1,2,82.9
384,14,1,1,2,7.4,59.1,0,2,1,4,83.0
385,14,1,0,1,7.7,79.2,0,0,1,0,93.4
386,14,2,1,4,7.4,97.1,0,3,1,1,93.7
387,18,0,0,3,4.3,51.5,0,0,1,5,59.2
388,19,1,1,2,4.0,74.7,0,0,1,0,52.0
389,14,0,1,0,1.3,86.2,0,3,0,2,45.7
390,18,0,1,1,2.1,71.5,1,2,0,0,43.5
391,15,1,1,4,5.4,76.9,0,3,1,1,80.8
392,16,0,1,0,1.5,72.6,0,0,1,2,47.9
393,17,0,1,1,7.6,79.9,0,1,1,3,94.3
394,18,2,0,5,2.2,53.4,0,3,1,2,34.9
395,19,2,0,3,1.2,77.3,0,2,1,0,42.4
396,14,0,0,2,2.3,75.6,0,1,1,3,50.4
397,15,0,0,2,0.9,59.1,0,3,0,3,32.1
398,15,0,0,4,1.7,76.7,0,1,1,2,43.8
399,15,1,1,5,4.9,73.2,0,3,0,0,61.5
400,19,2,0,4,2.7,79.7,0,3,1,5,55.0
401,18,0,0,2,6.5,78.2,0,1,0,3,80.6
402,15,0,1,3,3.5,70.2,0,1,0,0,56.1
403,19,1,0,4,5.9,89.1,1,3,0,0,88.2
404,16,2,1,2,5.8,67.9,0,2,1,1,76.2
405,17,1,1,2,1.5,73.7,0,0,0,5,48.6
406,16,2,1,3,0.9,71.3,0,0,0,4,31.9
407,14,1,1,1,6.8,74.3,1,2,1,0,81.6
408,19,0,0,0,5.8,90.0,0,2,1,3,79.9
409,14,1,0,0,1.8,85.5,0,3,0,1,41.0
410,15,2,1,3,5.6,52.1,0,0,0,2,58.3
411,15,1,1,5,3.0,74.7,0,1,0,3,61.2
412,15,0,0,1,0.9,56.2,0,1,0,2,38.3
413,14,0,1,1,2.2,86.5,0,0,0,1,44.9
414,14,1,0,5,6.2,99.3,0,1,1,5,80.8
415,18,1,1,2,3.4,80.9,0,3,1,4,55.1
416,19,1,1,1,4.6,69.0,0,0,1,0,70.4
417,14,1,0,3,1.5,53.6,1,0,0,0,37.6
418,15,1,1,4,1.2,66.6,0,3,1,1,45.9
419,17,1,1,2,2.3,76.3,0,1,1,5,58.8
420,19,0,0,2,4.0,94.0,0,3,0,4,65.9
421,18,1,1,1,6.9,75.6,0,1,0,5,80.4
422,18,1,0,3,6.2,99.2,0,2,0,5,81.6
423,17,2,0,5,1.7,68.5,0,1,1,2,41.3
424,16,2,1,2,1.0,50.0,0,1,0,1,34.5
425,15,1,1,3,2.2,81.4,0,1,0,5,54.8
426,19,0,0,4,6.9,61.0,0,0,0,0,73.9
427,18,0,1,4,4.4,62.2,1,1,1,1,58.1
428,14,0,0,1,6.6,50.9,0,3,1,5,79.1
429,18,0,0,0,3.3,76.6,0,2,0,2,54.0
430,14,2,0,1,4.9,62.4,1,1,1,5,60.4
431,18,0,0,1,5.0,99.7,0,3,0,2,85.4
432,18,0,1,0,5.2,91.8,0,2,0,0,76.9
433,14,1,0,1,4.0,86.1,0,0,0,0,56.7
434,16,0,0,3,2.3,67.7,0,1,1,3,52.6
435,14,2,1,4,3.7,53.6,1,2,1,2,59.2
436,17,2,1,0,7.8,83.4,0,3,1,5,100.0
437,19,2,0,2,2.5,51.1,0,0,0,1,40.5
438,14,1,1,5,5.9,72.1,0,2,1,1,81.7
439,16,1,1,4,7.6,52.6,0,3,0,1,86.6
440,19,1,1,2,4.7,78.0,0,2,1,2,67.8
441,15,0,0,4,4.2,78.0,1,0,1,2,61.8
442,14,1,0,1,1.4,76.5,0,2,1,5,50.8
443,16,2,1,0,6.1,85.7,0,1,1,4,81.9
444,17,0,1,2,7.3,61.4,1,1,0,5,75.7
445,17,0,1,2,7.9,62.1,0,1,1,1,80.6
446,15,1,1,3,2.0,70.8,0,2,0,2,41.9
447,19,1,1,4,7.4,85.1,0,1,0,2,91.5
448,17,2,0,5,3.3,55.8,1,1,1,1,41.3
449,15,2,1,5,5.1,94.3,0,0,1,0,77.5
450,19,2,0,1,2.2,62.6,0,2,1,2,37.0
451,19,1,0,1,2.4,56.4,0,1,1,2,50.0
452,16,2,1,1,5.1,79.9,0,0,0,0,75.3
453,14,0,0,2,4.1,63.8,0,2,1,5,56.7
454,17,1,1,4,7.7,70.4,1,1,1,2,93.9
455,17,0,1,5,2.5,53.1,0,0,0,2,49.5
456,14,2,1,1,7.1,73.2,0,3,1,1,76.9
457,17,1,0,2,4.0,65.2,1,1,0,2,61.8
458,19,1,0,3,1.5,58.5,0,2,0,3,32.5
459,14,0,1,0,2.3,69.3,1,0,0,4,48.5
460,18,2,0,5,6.2,88.5,0,0,0,5,86.9
461,14,1,1,3,6.7,88.2,0,1,1,4,80.6
462,18,2,1,4,0.8,68.0,0,0,1,2,36.9
